"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 20 06:30:55 GMT 2022","Tue Sep 20 06:30:55 GMT 2022","879","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:47 GMT 2022","Tue Sep 20 06:30:48 GMT 2022","887","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:31:06 GMT 2022","Tue Sep 20 06:31:07 GMT 2022","860","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Tue Sep 20 06:31:10 GMT 2022","Tue Sep 20 06:31:11 GMT 2022","877","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Tue Sep 20 06:31:11 GMT 2022","Tue Sep 20 06:31:12 GMT 2022","886","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Tue Sep 20 06:31:04 GMT 2022","Tue Sep 20 06:31:05 GMT 2022","869","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Tue Sep 20 06:30:43 GMT 2022","Tue Sep 20 06:30:43 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:31:07 GMT 2022","Tue Sep 20 06:31:08 GMT 2022","879","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Tue Sep 20 06:31:12 GMT 2022","Tue Sep 20 06:31:13 GMT 2022","873","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Tue Sep 20 06:30:54 GMT 2022","Tue Sep 20 06:30:55 GMT 2022","894","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:45 GMT 2022","Tue Sep 20 06:30:46 GMT 2022","871","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:30:57 GMT 2022","Tue Sep 20 06:30:58 GMT 2022","874","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:43 GMT 2022","Tue Sep 20 06:30:43 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:30:52 GMT 2022","Tue Sep 20 06:30:53 GMT 2022","919","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:51 GMT 2022","Tue Sep 20 06:30:52 GMT 2022","879","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:50 GMT 2022","Tue Sep 20 06:30:51 GMT 2022","896","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:31:10 GMT 2022","Tue Sep 20 06:31:10 GMT 2022","854","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Tue Sep 20 06:30:56 GMT 2022","Tue Sep 20 06:30:57 GMT 2022","877","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:30:53 GMT 2022","Tue Sep 20 06:30:54 GMT 2022","887","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:31:08 GMT 2022","Tue Sep 20 06:31:09 GMT 2022","877","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Tue Sep 20 06:30:43 GMT 2022","Tue Sep 20 06:30:44 GMT 2022","902","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:31:05 GMT 2022","Tue Sep 20 06:31:06 GMT 2022","880","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Tue Sep 20 06:31:02 GMT 2022","Tue Sep 20 06:31:03 GMT 2022","866","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Tue Sep 20 06:31:01 GMT 2022","Tue Sep 20 06:31:02 GMT 2022","880","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Tue Sep 20 06:30:46 GMT 2022","Tue Sep 20 06:30:47 GMT 2022","900","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:30:59 GMT 2022","Tue Sep 20 06:31:00 GMT 2022","872","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Tue Sep 20 06:30:43 GMT 2022","Tue Sep 20 06:30:43 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Tue Sep 20 06:31:09 GMT 2022","Tue Sep 20 06:31:10 GMT 2022","893","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Tue Sep 20 06:30:55 GMT 2022","Tue Sep 20 06:30:56 GMT 2022","841","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Tue Sep 20 06:31:03 GMT 2022","Tue Sep 20 06:31:04 GMT 2022","883","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Tue Sep 20 06:30:58 GMT 2022","Tue Sep 20 06:30:59 GMT 2022","874","test_function.test_filters","test_2_filters_stock","","","","Stock",""
